CharacterID,Name,Real Name,ImageURL,Powers,Weaknesses,Bio
5243,Silver Swan (02 - Valerie Beaudry),Valerie Beaudry ,5243_20090903064752_char.jpg,"Flight and her 'Swan Song', a sonic scream that causes massive destruction.",,"Valerie Beaudry was born hideously deformed.  When subjected to tests at Armbruster International to make her beautiful, she also developed super powers, most formidable of which was her 'swan song', a sonic wave which could cause massive devastation.  At first she worked for Hank Armbruster, but she eventually realised that he was exploiting her and turned against him."
648,Thunderball (Marvel),Dr. Eliot Franklin ,648_20070907020610_char.jpg,"Thunderball shares the Asgardian enchantment originally given to the Wrecker, becoming transformed into a being of superhuman power, slightly less than an Asgardian god. He possesses vast superhuman strength and a high degree of invulnerability with some resistance to cold, heat, fire, corrosives and toxins.",,"Dr. Eliot Franklin was a genius-level physicist, nearly on par with Bruce Banner. He even designed a miniature gamma-ray bomb, a feat that eluded Banner. However, his invention was stolen by an unscrupulous executive at Richmond Enterprises, and Franklin was imprisoned after an attempt to steal it back. While in prison at Ryker’s Island, he met and befriended Dirk Garthwaite, a.k.a. the Wrecker. The Wrecker told his friends of the power he received by Karnilla, the Norn Queen, power enough to take on the thunder god Thor, and they orchestrated an escape. With fellow convicts Henry Camp and Brian Calusky, the group managed to retrieve the crowbar that housed the powers that had been drained from the Wrecker. Grasping the bar in an electrical storm, the Wrecker was restored, Camp became Bulldozer, Calusky became Piledriver, and Franklin became Thunderball. Together, they became known as the Wrecking Crew. |||| Thunderball initiated their first foray into crime, destroying anything associated with Richmond Enterprises in order to capture his gamma bomb and ransom New York. They were stopped by the Defenders, but Thunderball and the Wrecking Crew were never contained for long. |||| |||| But Thunderball had always felt superior to his teammates, knowing his intelligence set him apart. He often parted company with them, and was seen acting independently on several occasions. Once, he sought out his ex-girlfriend, Rhonda Taddington, holding her friend, Clytemnestra Erwin, hostage and running into conflict with her boyfriend, Rhodes, James as Iron Man. He later took it upon himself to retrieve the Wrecking Crew’s weapons from the authorities, running afoul of Spider-Man, who defeated Thunderball by overloading his wrecking ball with electricity and knocking him out. |||| |||| However, if the Wrecking Crew appeared, Thunderball was sure to be seen as well, including in their abduction to Battleworld by the Beyonder and joining with Doctor Doom's army of super-villains. The Crew also joined Baron Zemo's Masters of Evil. After this, Thor used his hammer to draw the Wrecker’s away from the others who divided it, and Thunderball was left powerless. |||| |||| When imprisoned in the Vault, Thunderball participated in a massive breakout but refused to follow the orders of Venom, battling him over the alliances among their cellmates. However, they were trapped inside with a nuclear reactor that threatened to meltdown, and Thunderball was instrumental in defusing the device with Iron Man. |||| |||| Months later, the Wrecker freed his Crew and restored their power once more. As before, wherever the Wrecking Crew was to be found, Thunderball was among their number. They performed many other acts of villainy, although Thunderball grew dissatisfied with the Wrecker’s leadership, coveting all the power of the Crew for himself. Eventually, the Crew reconciled, seeking out Hercules once more. But battling them helped Hercules overcome the fear of combat he had suffered since the beating at their hands, and they were defeated. |||| |||| Once, Thunderball was broken out of prison by Midnight on behalf of the Secret Empire. He served alongside Midnight as their agent, coming into conflict with Midnight’s former mentor, Moon Knight as well as Spider-Man and other heroes, until Midnight was betrayed by the organization and destroyed their headquarters. |||| |||| The Wrecking Crew’s powers began fading when many of Asgard's links to Earth were separated. The entire Crew received a power boost when hired by Arnim Zola to battle the Thunderbolts (unaware that the Thunderbolts included many of their former allies in the Masters of Evil). |||| |||| The Wrecking Crew appeared together for various endeavors: hired by the likes of the Doomsday Man, battling heroes such as the Avengers and the Warriors Three, used as lackeys by Morgan Le Fay, among others. When the Crew was imprisoned in the Raft, they joined the massive breakout and escaped."
709,Fred Chyre,,709_20080717160626_char.jpg,,,None entered.
3256,Giant-Man (Marvel)(Ultimate)(01 - Hank Pym),Henry Pym ,3256_20080709133244_char.jpg,Giant Man can grow into many times his normal size.,,"In the Ultimate Marvel continuity, Henry 'Hank' Pym is a brilliant, but mentally fragile scientist who takes Prozac and is married to Janet Pym, née van Dyne. He is chosen to work on the 'Super Soldier Project' for S.H.I.E.L.D. under Nick Fury. Hank is also the superhero 'Giant-Man', able to grow to 59 feet and 11 inches (60 feet being the point where the human body cannot support its own mass). He gains his powers after experimenting on the blood of his wife Jan, who is a mutant. |||| |||| In this continuity, he is prone to domestic violence, a spin off of a storyline in traditional Marvel continuity. He has been attempting to change, going on a medication, and Jan believes that joining the Ultimates could be a new start for them. But the tensions of losing and humiliating himself in a battle with the Hulk, and his jealousy of Jan's 'friendship' with Captain America, lead to a heated argument between the couple that ends after they have a violent fight, and Janet is hospitalized. Captain America himself takes revenge, beats him to a pulp despite the fact that Pym was giant-sized at the time, and forces him out of the team. |||| |||| He is eventually allowed back into the Triskelion, but not as a member of the Ultimates; instead, he serves with the staff and acts as a psychiatrist for inmates, including Norman Osborn, Otto Octavius, Maxwell Dillon, Flint Marko and Sergei Kravinoff. |||| |||| Henry seems to overcome his violent streak and becomes desperate to get in the Ultimates again, becoming the ant-manipulator 'Ant-Man' and building two prototype androids, Ultron and Vision II. Despite this, he remains a pariah, becoming increasingly depressed as S.H.I.E.L.D. debuted an entire team of Giant-Men who are capable of breaking the 60-foot 'limit' that he had been unable to overcome and making Hank's place obsolete. Desperate, he joins the vigilante team Defenders, starting a meaningless affair with Valkyrie and making a laughing stock of himself. |||| |||| In spite of his sad descent, he is able to relate to his estranged wife Jan again, and the two begin to see each other again (though their renewed relationship has been platonic so far). On a side note, he is visited by the traitor within the Ultimates — an object of great fan speculation, as of 2005 — but seems too much in a funk to seriously care (It is revealed in Ultimates 2 #9 that the traitor was Ultimate Black Widow). In recently published materials, it has been revealed that Pym is building an army of Ultrons for the invading Coalition. Hank Pym keeps the American populace in line using the Ultron robots he created, not knowing how full scale the attack will prove to be. |||| |||| As the tide of the battle starts to turn to the Ultimates favor, Hank orders the Ultron robots to help The Ultimates and they start taking out The Liberators armed guards. He swears to Quicksilver that he planned on infiltrating The Liberators from the start. Although he appears to be lying, at some point earlier he did give the Wasp a growth serum. Interestingly, when she uses it, she grows taller than Giant-Man ever did, to nearly the same size as the S.H.I.E.L.D. Giant-Men. Apparently Pym finally overcame the 60-foot limit that plagued him earlier in the series. |||| |||| As the Liberators are killed or arrested, Pym once again tries to convince the Ultimates he was on their side the entire time, but Captain America and even Thor don't want to hear it. As the series comes to a close, Jan visits him in the cell Thor and Hulk had occupied eariler, quipping 'So, do we all have spend a little time in these cells?' |||| |||| It has been suggested that this version of Hank suffers from bipolar disorder, which would explain his mood swings between manic/creative highs and depressive/violent lows. His use of Prozac seems to bear this out, as this drug is often prescribed to sufferers."
14100,Vashnu (Earth-1),,,,,None entered.
32525,Dr. John Skrtic (Marvel)(Ultimate),,,,,None entered.
1081,Nightshade (DC),Eve Eden ,1081_20070204173115_char.jpg,,,None entered.
32557,Monica Kaufman (Marvel)(Ultimate),,,,,on-the-scene reporter for ABC News.
43278,Atom (DC)(Earth-31 - DKR/All-Star),,,,,None entered.
80788,Zebediah Stane (Marvel)(Earth-55921),,,,,None entered.
36267,Mrs.  Hopkins (Marvel),,36267_20140524183827_char.jpg,,,"Mrs. Hopkins was the housekeeper at the Howlett Estate.  She was responsible for bringing Rose into the household to care for James Howlett after her parents were killed by the flu. |||| |||| Mrs. Hopkins was the loyal housekeeper in the Howlett's household in the late 19th century. She was very strickt, but befriended Rose and the young James Howlett (Wolverine) somewhat. She was witness to the murder of fellow employee mister Kenneth. How she spent the rest of her life has not been revealed."
5280,X-Ray (Marvel)(01 - James Darnell),James Darnell ,5280_20070414060104_char.jpg,His physical form has been permanently converted into quasi-solid radiation. He can levitate and project various wavelengths of radiation. He is also invulnerable to physical injury.,,None entered.
1082,Zatanna (DC),Zatanna Zatara ,1082_20051028165121_char.jpg,"Zatanna's powers of magic are almost limitless, making her one of, if not the, most powerful members of the Justice League. She can use her magic to heal herself or others, command the elemental forces of earth, wind, fire and water, transmute objects into different forms, attack opponents with blasts of energy, transport herself and others across the planet, and erase or alter a person's memories.  She has completely rebuilt Metropolis from ruins, used her powers to merge Aquaman's spirit with all the oceans of Earth, and even manipulated the space/time continuum.","Most of Zatanna's magic is cast by verbalizing the nature of her magic backwards (for example, for her to teleport herself, she would speak the word 'tropelet'). This often leads to Zatanna being gagged to prevent her from vocalizing a spell. However, even when she was shot in the throat by the Joker and unable to speak, she was able to write a healing spell with her own blood and cast it that way, proving that preventing her from speaking is not absolute proof against her magic.",None entered.
3530,Slim (DC)(Ghost Patrol),Slim ,,,,None entered.
74524,Agent Bradley (Marvel)(Ultimate),,,,,None entered.
6903,Bloodwynd (DC)(01 - J'onn J'onzz),J'onn J'onzz ,6903_20160610095927_char.jpg,,,None entered.
866,Sebastian Faust,,866_20100215133326_char.jpg,,,Son of Felix Faust. |||| Sebastian is Rook Gamma for Checkmate.
90152,Helen Blaine,,,,,None entered.
6986,Jonah (Earth-1),Jonah ,,,,None entered.
62551,Sienna (DC)(Son Of Vulcan),,62551_20120529202658_char.jpg,,,None entered.
3749,Zaran (Marvel),Maximillian Zaran ,3749_20070125140421_char.jpg,,,None entered.
5955,Sun Boy (Earth-Prime),Dirk Morgna ,,Ability to radiate light and heat.,,None entered.
225,Captain Marvel Jr. (DC)(Post Crisis),Freddy Freeman. ,225_20060830181348_char.jpg,,,None entered.
609,Vandal Savage (DC),Vandar Adg ,609_20051223140429_char.jpg,* Healing |||| * Immortal |||| * Insanely Rich |||| * Intellect |||| * Invulnerability |||| * Leadership |||| * Longevity |||| * Power Suit |||| * Stamina |||| * Super Strength |||| * Swordsmanship |||| * Unarmed Combat |||| * Weapon Master,,"Vandal Savage, the immortal tyrant, has been witness to humanity's growth from the dawn of time, and his desire to control mankind has led him into conflict with many heroes of the DC Universe. |||| |||| Former European king. Fought against Wally West when he was the new Flash. Savage showed up in Wally's apartment and wanted to kill him. |||| |||| +++ Origins +++ |||| |||| In prehistoric times, a caveman named Vandar Adg led the Blood Tribe, a Cro-Magnon tribe. He encountered a mysterious meteorite, and was bathed in its radiation. This radiation wrought a change in him, affording him amazing intellect and immortality. Since this time he has claimed to be numerous famous and vicious leaders, and to have been close with numerous other famous people through history. He has been in conflict with possibly every one of Earth's heroes over the years, usually as a result of his plans to control the world."
347,Hawkwoman (DC)(Post Crisis)(01 - Shayera Thal),Shayera Thal ,347_20070801232709_char.jpg,,,None entered.
10855,Jason Todd,,10855_20090521054325_char.jpg,,,None entered.
2480,Absorbing Man (Marvel),Carl 'Crusher' Creel ,2480_20051203101616_char.jpg,"* Berserker Strength |||| * Chemical Absorbtion |||| * Energy Absorption (with his ball and chain he took on the same power as for eg.Thor's Uru hammer as soon they came close) |||| * Immortal |||| * Invulnerability |||| * Matter Absorption |||| * Super Strength |||| * Unarmed Combat |||| |||| Creel has the power to absorb the physical properties of anything he touches. For example, if Creel were to touch and hold a piece of titanium steel, the tissues of his body would take on the appearance and properties of titanium. Creel also retains his intellect and capacity for speech regardless of the material he absorbs. The more dense, or durable, the material he absorbs, the stronger Creel is; were Creel to touch a high grade steel structure his strength would be roughly equal to that of the Thing. Creel also has the ability to absorb the same level of physical strength as the character he is touching. This power requires Creel's deliberate concentration, although he has a tendency to accidentally absorb materials he did not intend to. Creel's body can also absorb the properties of great amounts of energy in the same fashion it absorbs the properties of solid materials. Creel has proven able to absorb the mystical energies of Thor's enchanted Uru hammer on multiple occasions. |||| |||| The ball and chain that he carries is also mystically enchanted, and this power is extended to it. It is essentially an extension of his own body mass at this point. If the Absorbing Man's body is shattered, he has the ability to completely reconstitute his bodily mass without injury to himself, though it may take a great deal of time to do so. |||| |||| The greatest limitation of the Absorbing Man's powers is his intellect; the Absorbing Man is noticeably unintelligent. |||| |||| It was shown in a Hulk story that Creel developed the power of absorbing the minds of other people, and possessing their bodies. In that particular story, he was shown unusually smart and cunning. Whether this new power will be retconned or become a permanent addition is not certain yet.",,"Mainly an antagonist of Thor, The Absorbing Man was given an enchanted potion by the Norse god Loki which, once ingested, gave him the power to absorb the physical properties of anything he touched. Loki thought he was a perfect subject because he is brutal, savage, consumed with hatred for society. Thus, if he touched a steel wall, his whole body could become as hard as steel, while he could still move, think and speak; his strength also increased to the extent that he could battle such immensely strong heroes of the Marvel pantheon as Thor and the Hulk. If his body is damaged or shattered while in a non-organic form, he can reconstitute his body, although this takes a great deal of time and effort. |||| |||| He was in prison at the time of this power transfer, and the heavy ball and chain to which he was attached also magically gained the power. He therefore continued to carry the chain as a kind of mace. |||| |||| His main weaknesses are his low intelligence, making him relatively easy to outwit, and his power can be turned against him if he is tricked or forced into physical contact with a substance with an undesirably low strength. For instance, when fighting the Hulk once, he made the mistake of breaking glass above him, causing shards to fall on him. When he made contact with a shard, his body turned to glass and the Hulk instantly took advantage of this by punching and shattering his foe. |||| |||| Creel has absorbed the properties of a number of unusual or unique substances over the course of his criminal career, including adamantium, Captain America's shield, and Quasar's Quantum Bands. He also is known in the comics for transforming into water (One example is when he battled the Eric Masterson Thor in The Mighty Thor #436). |||| |||| Although Creel is a thug and a villain, he is not wholly heartless, and usually tries to avoid killing innocent bystanders (although he has no qualms about threatening or incapacitating them). In later years, he became romantically involved with fellow supervillain Titania (Mary 'Skeeter' McPherran) and the two were eventually married. |||| |||| The Absorbing Man is highly addicted to narcotics, especially pain killers and cocaine. When he is need of a high he has demonstrated no concern for the safety of others and will work for whatever criminal can supply him with narcotics. Recently, he was tricked into transforming into cocaine and minions operating powerful industrial fans scattered his body in the room he was occupying. His body mass was then collected off of the surfaces and placed into several bags. This all was the doing of The Owl who plans to sell this 'Creel cocaine', but after being used as a drug all over New York (all those who used the drug transformed into anything they came in contact with, just like Creel), Creel managed to reform himself but was defeated by Spider-Man and The Avengers."
2074,Despero,,2074_20080312072252_char.jpg,Despero has powerful skills of telepathy and can hypnotize anyone using his third eye.,,None entered.
1671,Doctor Occult (DC)(02 - Post-Crisis),Richard Occult ,1671_20140208181414_char.jpg,Undefined magical powers.,,"A member of the 'trenchcoat brigade', Doctor Occult was raised by the Seven, a group of mystics who also brought up his later partner/girlfriend, Rose Psychic."
69240,Adam Eterno,,,,,None entered.
5595,Overmind (Marvel),Grom ,5595_20110622073648_char.jpg,"telepathy, telekinesis, other mental powers. superhuman strength and durability.",,"Grom was born on the ancient planet Eternus, a member of a highly advanced, belligerent race of humanoid aliens who are now extinct. Eons ago, the Eternians learned to control aging and eliminate natural death. To prevent overpopulation, the Eternian government sanctioned interstellar warfare and conquest which regularly claimed the lives of multitudes. When enemies could not be found to wage war against, the government held gladiatorial spectacles called The Games. Grom was a naturally skilled gladiator who earned in combat title Champion of Champions. Soon after Grom’s coronation, the Eternians discovered Gigantus, a huge planet on which dwelled an equally advanced but peaceful civilization. Immediately they launched an attack upon the world. Because Gigantus was several hundred times larger than Eternus (about the size of Jupiter), the war became very costly and difficult for the Eternians to sustain. Finally it was decided to simply obliterate the planet. The Eternians showered Gigantus with immensely powerful nuclear warheads and detonated them, destroying the planet. A huge armada of Gigantians, however, who had learned the ways of war after eons of peace, escaped the world’s destruction and attacked Eternus in retaliation. |||| |||| |||| Unprepared for so devastating an attack, the Eternian defenses fell. Government leaders realized that their race faced total extinction. Desperately Eternian scientists prepared to transform Grom, the race’s most outstanding physical specimen, into the receptacle of the collective consciousness and mental might of Eternus. As the surviving population of Eternus marched into huge “synthesizing chambers” scattered across the planet, their organic brains were converted to pure mental energy and projected into Grom. When the process was complete, and only the scientists who conducted the process were left alive, the capsule containing Grom was launched into space to incubate until the being learned to control the powers of his group mind. Eons passed. Then Grom emerged as the Overmind, a warrior who possessed the collective psionic power of the billion brains and who carried in his memory the subliminal command to subdue the universe. |||| |||| The Overmind attacked the first inhabited planet he came upon, the Earth, but was defeated by the Fantastic Four with the aid of the Stranger. The Stranger claimed to be the embodiment of the collective psionic power of all the surviving Gigantians. The Stranger’s psionic abilities proved to be more powerful than those of the Overmind and he shrunk the Overmind to microscopic stature and exiled him to a mote of dust. |||| Several years later, a demonic creature called Null the Living Darkness located Overmind and decided to use him as a pawn in his scheme of conquest. However, when he restored the Eternian to his original power and stature, Null accidentally transported the Overmind to an alternative Earth other than the one upon which he had met his defeat. This Earth was the home of the Squadron Supreme. Null and the Overmind battled the Squadron, who sent for reinforcements in the persons of the Defenders. A being composed of the psychic union of six of the alternate Earth’s most powerful telepaths also aided in the struggle, and were instrumental in neutralizing Null and the Overmind. At the battle’s end, the Overmind’s Eternian consciousness was driven out of its body and the six telepaths, lacking physical bodies, took refuge inside him. Now possessing a benevolent mind and a small fraction of his former mental might, the Overmind returned with the Defenders to their world. After parting company with the group, he set forth for parts unknown."
8154,Electron (Marvel),Unrevealed ,8154_20070110223546_char.jpg,"Electron possesses the normal strength of a Shi'ar male, thus allowing him to lift over two tons in weight. |||| |||| Electron also possesses the ability to generate an electromagnetic charge within his body. Electron can then release this charge as either electrical energy to shock his opponents or power electrical devices, or as magnetic force that can manipulate metals or generate defensive magnetic fields.",,"Electron is a member of the Imperial Guard, a multi-ethnic group of super-powered alien beings who act as enforcers of the laws of the Shi'ar Empire. He was amongst the first of the Imperial Guard encountered by the team of superhuman mutant adventurers known as the X-Men who sought to rescue the Princess-Majestrix Lilandra from her insane brother, then-Majestor D'ken. Following the orders of their emperor, the Guard clashed with the X-Men and were on the verge of winning when the band of interstellar freebooters known as the Starjammers arrived to turn the tide of battle in the X-Men's favor. |||| |||| Later, after the formerly-exiled Deathbird had usurped the Shi'ar throne from her sister, Lilandra, Electron was amongst those Imperial Guard members who clashed with the British team of costumed adventurers known as Excalibur and the team of interstellar freebooters known as the Starjammers over the fate of the then-bearer of the cosmic Phoenix Force, the alternate future daughter of the X-Man Jean Grey named Rachel Summers. |||| |||| During the war between the Shi'ar and Kree Empires, Electron was one of a small contingent of Guardsmen that were dispatched by then-Empress Lilandra to retrieve both the famous Nega-Bands of the Kree warrior Captain Mar-vell as well as the powerful device known as the Omni-Wave-Projector. These devices were needed to create the Nega-Bomb - the weapon that ended the war by killing 90% of the Kree population. |||| |||| When the Empress Lilandra learned of the many Earth heroes that had sacrificed their lives to stop the malevolent psionic being named Onslaught, she dispatched eight members of the Imperial Guard, including Electron, to protect Earth. While on Earth, the Guard uncovered a plot by a militant Kree faction to simulate a radical political activist group in revenge for Earth's involvement in the Kree/Shi'ar war. In reality, the group created a 'nega-reactor', similar to the bomb that was used on the Kree. However, this plot was stopped by the Guard, but not before the reactor was used by the Kree's leader, the Supreme Intelligence, to re-incorporate itself after being presumably killed at the end of the war. ||||"
539,Linda Jasmine Park-West,,539_20070218183703_char.jpg,,,None entered.
12117,Johnny Warlock (DC),Johnny Warren ,,,,None entered.
193,Aquaman (DC)(Post Crisis)(01-Arthur 'Orin' Curry),Orin / Arthur Curry ,193_20060123225309_char.jpg,"Communicates telepathically with most forms of sea life. At one point, he has his left hand, which has been severed in a battle with Charybdis, replaced with a retractable harpoon.",,"King of Atlantis, husband to Mera."
17001,Ahmed Samsarra,,,,,None entered.
105,Martian Manhunter (DC),J'onn J'onzz ,105_20150329212634_char.jpg,"The Martian Manhunter possesses a wide variety of superhuman powers— including telepathy, shape-shifting, projecting energy, x-ray vision, phasing, invisibility, flight, and super strength.",One of the Martian Manhunter's signature traits is his vulnerability to fire.,None entered.
93393,"John Howlett, Sr",,93393_20180409195800_char.jpg,* Insanely Rich |||| * Intellect,,None entered.
